Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"Butamirate citrate is indicated for immediate phlegm of any cause, for the prevention of phlegm before and after surgery, and for bronchoscopy. It is also indicated for phlegm and whooping cough caused by lower respiratory tract infections (tracheitis, laryngitis, bronchitis, etc.).",Butamirate Citrate,Respiratory system,"Tracheitis, laryngitis, bronchitis",,Antitussive,Respiratory tract infection
Butamirate citrate acts directly on the cough center of the brain to suppress cough. Butamirate citrate is a safe and non-sedative that is not chemically or pharmacologically related to opium alkaloids.,Butamirate Citrate,Brain,Cough,,Antitussive,"Opium alkaloids, chemical"
Butamirate citrate is rapidly and completely absorbed after oral administration. The sustained-release tablet reaches peak levels in 9 hours. It has high protein binding and a plasma elimination half-life of 13 hours. Butamirate citrate metabolites also have expectorant properties.,Butamirate Citrate,Respiratory system,Cough,,Cough suppressant,"Protein binding, plasma excretion"
For adults - Butamirate Citrate 50 mg tablets: 2-3 tablets. Butamirate Citrate Syrup: 15 ml 4 times a day.,Butamirate Citrate,Respiratory system,Cough,,Antitussive,Syrup
Use in children and adolescents - Butamirate Citrate 50 mg Tablets: • For adults over 12 years of age: 1-2 tablets daily.,Butamirate Citrate,,Cough,,,Tablet
Butamirate Citrate Syrup: Children (3-6 years): 5 ml 3 times a day. Children (6-12 years): 10 ml 3 times a day. Adolescents: 15 ml 3 times a day. Butamirate Citrate Pediatric Drops: Children (2 months-1 year): 0.5 ml 4 times a day. Children (1-3 years): 0.75 ml 4 times a day. Or as directed by a physician.,Butamirate Citrate,,Cough,,Cough suppressant,Syrup
"Butamirate citrate is very well tolerated. Rash, nausea, and dizziness have been reported occasionally. These reactions resolve with dose reduction or discontinuation of the drug.",Butamirate Citrate," Digestive system, eyes, skin",Physical symptoms,,Antitussive,Medicine
"Butamirate citrate should not be used during the first trimester of pregnancy. It can be used with caution during the rest of the pregnancy on the advice of a doctor. Since there is no information on the excretion of the active ingredient in breast milk, as a general rule, the drug can be used during breastfeeding if the expected benefit outweighs the potential risk.",Butamirate Citrate,Uterus,Pregnancy-risk,,,"Pregnancy, breastfeeding"
"Since butamirate citrate suppresses cough, simultaneous use of expectorants should be avoided, as this can retain mucus in the airways, which increases the risk of bronchospasm and respiratory tract infections. If cough persists for more than 7 days (more than 3 days in children under 12 years of age), a doctor should be consulted.",Butamirate Citrate,Respiratory system,"Bronchospasm, respiratory tract infection",,Antitussive,Infection
"Overdosage of butamirate citrate may cause drowsiness, vomiting, diarrhea, confusion, and hypotension. Standard emergency measures include: Emergency medical treatment and standard cardio-respiratory therapy.",Butamirate Citrate," Heart, brain, digestive system, cardiovascular system",Low blood pressure,,Antitussive," Cardio-respiratory, activated charcoal, laxative saline"
"Cotrimoxazole is used to control, treat, and prevent urinary tract infections, bacterial infections, and bacterial infections of the urinary tract.",Cotrimoxazole,Urethral,"Urinary tract infection, bacterial infection",,Antibiotics,"Tablets, infection, treatment"
"The hormone testosterone plays a vital role in shaping men's health and well-being. Testosterone tablets have attracted attention as a potential solution for individuals experiencing low testosterone levels, offering benefits ranging from increased energy to improved libido.",Testosterone,Prostate,"Low testosterone, hypogonadism",Testosterone,Androgen,Improved libido
"Testosterone is the primary male sex hormone that plays a critical role in human development and health. The gonads, specifically the testicles in men, and the ovaries in women, produce this hormone. However, testosterone levels are naturally much higher in males (AMAB) than in females (AFAB) at birth.",Testosterone,"Gonads (testes, ovaries)",,Testosterone,Androgen," Hormones, Gonads"
"The testosterone hormone significantly influences sex differentiation and the development of male characteristics. Its effects begin in the embryo, forming the reproductive system as early as the seventh week of pregnancy. The SRY gene on the Y chromosome activates the development of the testicles, which then produce testosterone.",Testosterone,Testicles,,Testosterone,Endogenous androgens,Chromosomes
The hormone testosterone helps form the male urogenital tract and external genitalia.,Testosterone," Urogenital tract (urinary tract and genitals), external genitalia",,Testosterone,Endogenous androgens,Urogenital tract
Testosterone also influences the development of secondary male characteristics during puberty and adolescence.,Testosterone,Testicles,Puberty,Testosterone,Androgen,"Testosterone, puberty"
"Testosterone affects muscle mass, bone density, and body hair growth.",Testosterone,"Muscles, bones",,Testosterone,Androgen," Muscle mass, bone density, hair growth"
Testosterone plays an important role in sperm production and fertility in men.,Testosterone,Testicles,Fertility problems,Testosterone,Androgen,"Sperm, fertility"
"Testosterone tablets have gained popularity as a treatment for various conditions related to low testosterone levels. Uses of testosterone tablets include: The primary use of testosterone tablets is to treat hypogonadism, a condition in which the body does not produce enough testosterone. Men with this condition may experience symptoms such as decreased libido, erectile dysfunction, and loss of muscle mass.",Testosterone,Genitals,Hypogonadism,Testosterone,Androgen,"Decreased libido, erectile dysfunction, decreased muscle mass"
"Doctors also prescribe testosterone tablets to help boys go through puberty. In some cases, doctors prescribe these tablets to treat certain breast cancer in women.",Testosterone,Breast,"Male puberty problems, breast cancer",Testosterone,Androgen,"Puberty, breast cancer"
Testosterone tablets can help with gender-affirming hormone therapy for transgender men. It is important to remember that you should only use testosterone tablets under medical supervision. They are not recommended for enhancing athletic performance or treating age-related decline in testosterone levels without a diagnosed medical condition.,Testosterone,"Male reproductive organs, muscles, bones",Gender dysphoria,Testosterone,Androgen," Gender dysphoria, transgender, athletic performance"
"Proper use of testosterone tablets is crucial to their effectiveness and safety. Individuals should always follow their doctor's instructions carefully, such as: Typically, these tablets are taken orally with water, with or without food. The dosage and frequency of the medication depend on the individual's condition and response to treatment. Patients should not crush, chew, or break the tablets, as this may affect how the medication is absorbed.",Testosterone,"Male genitals, muscles, bones","Hormonal deficiencies, osteoporosis, low libido, muscle weakness",Testosterone,Androgen hormones,"Oral administration, dosage, absorption"
"It is essential to take testosterone tablets at the same time every day to maintain regular blood hormone levels. If you miss a dose, take it as soon as you remember unless it is almost time for your next dose. In that case, skip the missed dose.",Testosterone,"Male genitals, brain, bones, muscles","Loss of libido, impotence, decreased bone density",Testosterone,Androgen,"Dosage, missed dose"
"Testosterone tablets can have various side effects. Common side effects include: acne, hair loss, changes in libido.",Testosterone,"Skin, hair, genitals",Physical symptoms,Testosterone,Anabolic steroids,Side effects
"Testosterone tablets can have various side effects. For example, mood swings or increased aggression, insomnia.",Testosterone,Brain and nervous system.,Mental symptoms,Testosterone,Anabolic steroids,"Mood swings, aggression, insomnia"
More serious testosterone side effects can include: enlarged prostate liver problems increased risk of blood clots,Testosterone,"Prostate, liver","Blood clots, enlarged prostate, liver problems",Testosterone,,"Side effects, enlarged prostate"
"Testosterone tablets can have various side effects. Increased risk of prostate cancer, especially in older men, gynecomastia (enlargement of male breast tissue), heart disease",Testosterone,"Prostate, heart, breast","Prostate cancer, gynecomastia, heart disease",Testosterone,Hormones,Side effects
